date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,AnnouncedDate,MACD_macd,MACD_macdsignal,MACD_macdhist,RSI10,BOLL_Upper,BOLL_Middle,BOLL_Lower,CCI10,DX10,SMA5,SMA10,SMA20,date_before_announced_0,date_before_announced_1,date_before_announced_2,date_before_announced_3,date_before_announced_4,date_before_announced_5,date_before_announced_6,date_before_announced_7,date_before_announced_8,date_before_announced_9,date_before_announced_10,date_before_announced_11,date_before_announced_12,date_before_announced_13,date_before_announced_14,date_before_announced_15,date_before_announced_16,date_before_announced_17,date_before_announced_18,date_before_announced_19,MeasuringReasonCode_1,MeasuringReasonCode_2,MeasuringReasonCode_3,MeasuringReasonCode_4,MeasuringReasonCode_5,MeasuringReasonCode_6
2023-06-13,1471,-0.041974611705149205,-0.033466038413756435,-0.18997361477572533,-0.11292719167904879,-0.13218390804597738,-0.04551920341393928,0.02926829268292683,-0.07866588056935905,2023-06-28,-0.010228043777454641,0.020085182156621695,-0.1455946925548637,-0.27386892951273606,-0.03776746555537418,-0.028220858895705095,0.6425072457340786,-0.5495377256307669,-0.25498670137994184,-0.028220858895705095,0.043290043290043996,0.043074637950246554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-14,1471,0.1452586179010926,0.12989166558855939,-0.08443271767809848,0.11292719167904984,0.09770114942528843,0.1991465149359894,0.6731707317073171,0.1767034447907016,2023-06-28,0.15537362154448434,0.1259494904575461,0.06786982793966248,0.1674740400871175,0.10628867145654695,0.045398773006135894,0.1296756647469942,0.4602490311530404,0.15777407663059598,0.045398773006135894,0.19220779220779374,0.18863720757519872,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-15,1471,0.03263095131835715,0.03443724682687358,0.4960422163588398,0.1842496285289751,0.2931034482758632,0.05689900426742612,-0.653658536585366,0.07597068980038743,2023-06-28,0.1918636395608598,0.22688676806834324,0.051860037997271284,-0.23081089265080407,0.15427657860597582,0.11165644171779256,0.28827702496155744,0.2080014627367948,0.25404266675570475,0.11165644171779256,0.29437229437229484,0.28518380987746056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-16,1471,0.03071660822282426,0.03452467856427851,0.05277044854881343,0.21396731054977794,0.24712643678160925,0.21052631578947423,0.3609756097560976,0.03385833403520593,2023-06-28,0.3061586005319332,0.35852219442914135,0.15160995717121578,0.014746627186263921,0.2638181723814144,0.27116564417177663,0.7155443444830791,0.10574428663479123,0.2931531272031845,0.27116564417177663,0.3670995670995674,0.42777571481619087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-19,1471,0.8892591748421418,0.8494649650413225,0.6015831134564649,0.7191679049034184,0.7873563218390818,0.7795163584637274,1.7853658536585368,0.8788006401078077,2023-06-28,0.7319265392927463,0.6533879635923181,0.6820072014438568,0.5577487504693802,0.7662277173282376,0.651533742331288,-0.0972335214185886,0.690934719095384,0.7031393083871622,0.651533742331288,0.6129870129870129,0.7025621982918668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-20,1471,1.1647146709401908,1.1622687152589584,1.393139841688655,1.343239227340269,1.0172413793103454,1.2347083926031301,1.3951219512195125,1.2679188073780847,2023-06-28,1.3278829445211835,1.1546081274189732,1.3525308332269965,0.7854346449120503,1.3860790951829838,1.20368098159509,-0.44588259859936114,0.595771633005733,0.9087498135195223,1.20368098159509,1.0251082251082282,1.079836613442259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-21,1471,1.8027905458071254,2.0017677359462307,2.2374670184696583,1.8781575037147111,2.1666666666666683,1.8890469416785205,2.078048780487805,1.2709508969931778,2023-06-28,2.171120637840591,1.9310046550144966,2.2466831245609504,0.9810278183768326,2.233435184362191,1.932515337423311,-1.127483105640514,0.4237002441578342,1.0005717157295828,1.932515337423311,1.5913419913419955,1.6234682510211673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-26,1471,1.5817845429424668,1.9764934349585064,4.137203166226915,2.621099554234771,4.580459770114946,2.600284495021337,2.2731707317073173,0.9626884527920492,2023-06-28,3.232983192001125,3.024876907263368,3.2782820698836423,1.1069046588929674,3.235463274253349,3.029447852760733,-0.0779823230485214,0.4147850550779326,1.0755758016707269,3.029447852760733,2.4121212121212214,2.370590419606389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-27,1471,2.849721154452604,3.596652063661893,5.2453825857519805,3.0965824665676096,4.6954022988505795,2.600284495021337,-0.1658536585365854,3.2175524298829274,2023-06-28,4.022838204056062,4.251628441075923,3.7100572138446766,1.1069046588929667,3.7885184946088035,4.060122699386498,3.8580159357441235,0.10564298577721869,1.1072463554019458,4.060122699386498,3.251948051948062,3.1414779056813966,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-06-28,1471,0.9783218016620236,1.2368464196221438,4.612137203166229,2.591381872213969,4.580459770114946,2.4011379800853483,-0.8487804878048781,1.3413627558325614,2023-06-28,4.469846425257708,5.432043546403824,3.55949259726814,0.800188099792618,3.9692087323875955,4.759509202453982,8.00665252203073,-0.19692121999498985,1.020592517185915,4.759509202453982,4.0138528138528216,3.8440401039732683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
