date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,MACD_macd,MACD_macdsignal,MACD_macdhist,RSI10,BOLL_Upper,BOLL_Middle,BOLL_Lower,CCI10,DX10,SMA5,SMA10,SMA20,AnnouncedDate,MeasuringReasonCode
2023-05-30,1471,542514,4900735,9.17,9.17,9.0,9.05,-0.07,321,0.017275754223220474,0.06392620309837073,-0.046650448875150255,45.5870359801213,9.226061205377666,9.127999999999995,8.931877589244651,-56.73758865248254,13.650578385616374,9.127999999999995,9.116999999999997,9.2285,2023/06/28,1
2023-05-31,1471,431485,3927339,9.12,9.15,9.06,9.12,0.07,251,0.014212179016414694,0.053983398281979525,-0.03977121926556483,48.596307868686516,9.15078027826746,9.093999999999994,8.98043944346506,-56.161616161617985,13.650578385616384,9.093999999999994,9.128999999999998,9.187999999999999,2023/06/28,1
2023-06-01,1471,461854,4218377,9.12,9.17,9.1,9.14,0.02,260,0.013245421472435126,0.04583580292007065,-0.03259038144763552,49.48322713606281,9.137558046774833,9.087999999999994,8.988883906450313,-19.02398676592128,11.26539680791272,9.087999999999994,9.134999999999998,9.1565,2023/06/28,1
2023-06-02,1471,2006001,18726302,9.27,9.8,9.19,9.58,0.44,805,0.04743676047390366,0.04615599443083725,0.0012807660430664142,64.46895709010714,9.3934575671007,9.201999999999995,8.819084865798581,241.50664697193722,35.85323052303346,9.201999999999995,9.188999999999997,9.164,2023/06/28,1
2023-06-05,1471,1881206,18051341,9.66,9.67,9.5,9.58,0.0,801,0.07368425672321699,0.0516616468893132,0.022022609833903792,64.46895709010715,9.529423023513294,9.293999999999993,8.823153952973392,174.68354430379782,35.85323052303345,9.293999999999993,9.231999999999996,9.171000000000001,2023/06/28,1
2023-06-06,1471,1208842,11426655,9.6,9.61,9.38,9.42,-0.16,553,0.08064529501856654,0.05745837651516387,0.023186918503402675,56.892293072537555,9.571017240647446,9.367999999999995,8.961965518705092,87.1687587168761,23.549696629558618,9.367999999999995,9.247999999999996,9.178,2023/06/28,1
2023-06-07,1471,1932651,18506912,9.45,9.78,9.39,9.68,0.26,822,0.10592080599049503,0.0671508624102301,0.03876994358026492,64.43835095195848,9.669314553059502,9.479999999999995,9.10137089388098,105.960264900663,33.08834496510418,9.479999999999995,9.286999999999997,9.1935,2023/06/28,1
2023-06-08,1471,1236540,11741697,9.67,9.67,9.43,9.46,-0.22,593,0.10696662448997785,0.07511401482617966,0.03185260966379819,55.33192764888707,9.6372952303181,9.543999999999995,9.357409539363786,59.63824289405747,33.08834496510418,9.543999999999995,9.315999999999997,9.2165,2023/06/28,1
2023-06-09,1471,818150,7702538,9.45,9.52,9.35,9.35,-0.11,405,0.09779207631162556,0.07964962712326884,0.018142449188356724,51.30399589645974,9.615711511756993,9.497999999999996,9.262576976486,16.609392898052807,24.093132628898335,9.497999999999996,9.349999999999996,9.224,2023/06/28,1
2023-06-12,1471,724973,6800817,9.41,9.5,9.27,9.45,0.1,377,0.09746680835067423,0.08321306336874992,0.014253744981924305,54.63941030323548,9.582887330205443,9.471999999999998,9.250225339589106,8.7929656274974,15.424940198354872,9.471999999999998,9.382999999999996,9.246,2023/06/28,1
2023-06-13,1471,1562197,14859360,9.45,9.6,9.35,9.55,0.1,580,0.10407844389863818,0.08738613947472758,0.016692304423910606,57.847436848220525,9.608887330205569,9.497999999999996,9.276225339588848,37.303216974674754,22.904520250620667,9.497999999999996,9.432999999999996,9.275000000000002,2023/06/28,1
2023-06-14,1471,3378249,33199602,9.55,9.98,9.55,9.98,0.43,1338,0.14237441540888263,0.09838379466155858,0.043990620747324044,68.49343276333923,9.77830887408392,9.557999999999996,9.117382251832147,193.48659003831463,43.86529858670444,9.557999999999996,9.518999999999995,9.324000000000002,2023/06/28,1
2023-06-15,1471,2285827,22482892,10.1,10.1,9.72,9.73,-0.25,1039,0.15081286128831728,0.10886960798691032,0.041943253301406955,58.88607508677855,9.834746492677528,9.611999999999995,9.166507014644928,154.47154471544823,48.75400091948324,9.611999999999995,9.577999999999996,9.3565,2023/06/28,1
2023-06-16,1471,2267259,22492708,9.68,10.15,9.68,10.0,0.27,914,0.17724397573758033,0.12254448153704432,0.054699494200536006,64.80936951578529,9.963576172004514,9.741999999999994,9.298847655990954,138.65546218487404,50.74010457984814,9.741999999999994,9.619999999999996,9.4045,2023/06/28,1
2023-06-19,1471,10594616,113986416,10.2,11.0,10.15,11.0,1.0,3422,0.2757043192435553,0.15317644907834652,0.1225278701652088,77.90756929364521,10.554449997512323,10.051999999999996,9.047100004975341,229.1666666666668,71.55998360535827,10.051999999999996,9.761999999999997,9.497,2023/06/28,1
2023-06-20,1471,13266372,149105032,10.95,12.05,10.35,11.8,0.8,4577,0.41352134826682807,0.20524542891604283,0.20827591935078524,83.39976758189368,11.283444815710068,10.501999999999995,8.939110368579852,214.44782461731583,82.0012766042284,10.501999999999995,9.999999999999996,9.624,2023/06/28,1
2023-06-21,1471,19455332,243355960,11.75,12.95,11.35,12.95,1.15,4586,0.6085230507976913,0.28590095329237253,0.3226220975053188,88.11783101364857,12.280003378373621,11.095999999999995,8.727993243252744,187.83360162670493,86.6641676567632,11.095999999999995,10.326999999999996,9.807,2023/06/28,1
2023-06-26,1471,17311704,240518403,13.55,14.2,13.45,14.2,1.25,3671,0.854082526560644,0.39953726794602684,0.45454525861461714,91.15420957238672,13.4584685900625,11.989999999999995,9.053062819874985,186.45469237418712,90.4730179726543,11.989999999999995,10.800999999999998,10.0585,2023/06/28,1
2023-06-27,1471,29609942,422414332,14.6,15.0,13.55,14.2,0.0,10364,1.0367392950181067,0.5269776733604428,0.5097616216576639,91.1542095723867,14.108905782299919,12.829999999999995,10.272188435400146,138.63979401580406,92.08130900200246,12.829999999999995,11.285999999999998,10.318000000000001,2023/06/28,1
2023-06-28,1471,11458471,157477904,14.0,14.15,13.45,13.85,-0.35,4795,1.1401115290515254,0.6496044444986593,0.49050708455286607,83.75564777306296,14.321411959983253,13.399999999999995,11.557176080033479,91.84229156455926,87.6808620807334,13.399999999999995,11.725999999999997,10.5545,2023/06/28,1
2023-05-31,1519,25492173,3643647974,142.5,145.5,139.5,145.0,4.0,14009,13.433251361671608,11.445607596261441,1.9876437654101675,77.96614257468644,143.72654919008372,140.70000000000002,134.64690161983265,84.15398388540734,72.45391777184821,140.70000000000002,134.9,118.83499999999997,2023/06/29,6
2023-06-01,1519,15564461,2261161915,146.0,148.5,143.5,144.0,-1.0,9724,13.449243783049198,11.846334833618993,1.602908949430205,75.9556535319512,144.61058907144925,141.3,134.67882185710152,102.2494887525561,74.90775315968799,141.3,137.55,121.06999999999996,2023/06/29,6
2023-06-02,1519,23945555,3660710779,145.0,158.0,145.0,158.0,14.0,14347,14.425314839307418,12.362130834756679,2.06318400455074,82.8392731952471,152.10555310817367,145.8,133.1888937836527,186.0730593607302,80.89568551467221,145.8,141.0,124.01499999999996,2023/06/29,6
2023-06-05,1519,53805609,8740986038,163.0,167.5,155.5,156.0,-2.0,28893,14.866107662993414,12.862926200404026,2.0031814625893887,79.23846971732111,155.6527366796047,148.8,135.0945266407907,189.67517401392064,84.89958894678836,148.8,143.75,126.36499999999997,2023/06/29,6
2023-06-06,1519,16296395,2505755111,155.5,157.5,151.0,153.0,-3.0,11344,14.802727594223256,13.250886479167871,1.5518411150553852,73.88577215636987,156.90613704707434,151.20000000000002,139.78772590585137,90.90909090909093,66.53032081306237,151.20000000000002,145.35,128.86499999999995,2023/06/29,6
